epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2829115092754364,4.232573986053467,1e-04,0.2400948703289032,5.708460330963135
1,0.3434107303619385,3.4217307567596436,1e-04,0.3949497640132904,3.0857748985290527
2,0.3734334111213684,2.9161298274993896,1e-04,0.4437778890132904,2.5743463039398193
3,0.4004887342453003,2.5154850482940674,1e-04,0.4546596109867096,2.268711805343628
4,0.43113982677459717,2.2035040855407715,1e-04,0.4758649468421936,1.9816675186157227
5,0.44925814867019653,1.9722779989242554,1e-04,0.4933035671710968,1.7709254026412964
6,0.47135624289512634,1.7889434099197388,1e-04,0.5111607313156128,1.6149712800979614
7,0.4910455644130707,1.6516258716583252,1e-04,0.5206473469734192,1.5394458770751953
8,0.5117472410202026,1.5301326513290405,1e-04,0.5463169813156128,1.410308599472046
9,0.5276313424110413,1.4558278322219849,1e-04,0.5404576063156128,1.3957732915878296
10,0.5420143008232117,1.3824540376663208,1e-04,0.5648716688156128,1.3137034177780151
11,0.5533251762390137,1.3204416036605835,1e-04,0.5705915093421936,1.288751482963562
12,0.5687903761863708,1.2708394527435303,1e-04,0.5770089030265808,1.2576919794082642
13,0.5793332457542419,1.2357831001281738,1e-04,0.5930524468421936,1.1944957971572876
14,0.5934368968009949,1.1996153593063354,1e-04,0.5922154188156128,1.1817876100540161
15,0.603281557559967,1.163805603981018,1e-04,0.6040736436843872,1.1550127267837524
16,0.6160935759544373,1.1284188032150269,1e-04,0.6075614094734192,1.1454784870147705
17,0.6230406761169434,1.105053424835205,1e-04,0.5950055718421936,1.1792386770248413
18,0.6348053812980652,1.0762866735458374,1e-04,0.6195591688156128,1.1243425607681274
19,0.639308750629425,1.0512614250183105,1e-04,0.6229073405265808,1.123494267463684
20,0.6533077359199524,1.0293469429016113,1e-04,0.6215122938156128,1.1213279962539673
21,0.6572874784469604,1.0122005939483643,1e-04,0.625,1.1187117099761963
22,0.6663292050361633,0.9923277497291565,1e-04,0.6150948405265808,1.1316899061203003
23,0.6757898330688477,0.9627631306648254,1e-04,0.6231864094734192,1.1451572179794312
24,0.6783732175827026,0.9507495164871216,1e-04,0.6283482313156128,1.1205717325210571
25,0.6916041374206543,0.9218383431434631,1e-04,0.62890625,1.130861759185791
26,0.7006109356880188,0.9018136858940125,1e-04,0.6335100531578064,1.0937479734420776
27,0.7065107226371765,0.8827104568481445,1e-04,0.6422991156578064,1.0939981937408447
28,0.7141211628913879,0.862885594367981,1e-04,0.6354631781578064,1.1288130283355713
29,0.7195671200752258,0.8483810424804688,1e-04,0.63671875,1.115998387336731
30,0.7256414890289307,0.8346763253211975,1e-04,0.6381138563156128,1.0903136730194092
31,0.7363588809967041,0.8127716183662415,1e-04,0.6385323405265808,1.1336222887039185
32,0.7377901673316956,0.8060418963432312,1e-04,0.6452288031578064,1.129433274269104
33,0.7479839324951172,0.7827733159065247,1e-04,0.6545758843421936,1.08879816532135
34,0.7503229379653931,0.7780277132987976,1e-04,0.6436942219734192,1.1304140090942383
35,0.7544074058532715,0.7604938745498657,1e-04,0.6420201063156128,1.1439646482467651
36,0.7576540112495422,0.7523720860481262,1e-04,0.6548548936843872,1.1324191093444824
37,0.7629953026771545,0.7347365617752075,1e-04,0.6457868218421936,1.1543546915054321
38,0.7736079692840576,0.7116428017616272,1e-04,0.6611328125,1.1234413385391235
39,0.7725955843925476,0.7109485864639282,1e-04,0.6466239094734192,1.1662960052490234
40,0.793611466884613,0.6523471474647522,2e-05,0.6595982313156128,1.1430895328521729
41,0.8095304369926453,0.6233183145523071,2e-05,0.6612723469734192,1.1650094985961914
42,0.8115901350975037,0.6079792976379395,2e-05,0.6572265625,1.1505078077316284
43,0.819025993347168,0.5950068831443787,2e-05,0.6637834906578064,1.152730941772461
44,0.8140687942504883,0.5923364758491516,2e-05,0.6647600531578064,1.1607131958007812
45,0.8196544051170349,0.5809354782104492,2e-05,0.6625279188156128,1.170343279838562
46,0.824646532535553,0.5693015456199646,4e-06,0.6635044813156128,1.1667778491973877
47,0.8257636427879333,0.5638419389724731,4e-06,0.6632254719734192,1.1549298763275146
48,0.825658917427063,0.5613718628883362,4e-06,0.6644810438156128,1.1589298248291016
49,0.8290801048278809,0.5545327067375183,4e-06,0.6630859375,1.1663533449172974
50,0.8299877643585205,0.5543221235275269,4e-06,0.6635044813156128,1.1671425104141235
51,0.8305463194847107,0.5540478229522705,4e-06,0.6644810438156128,1.1739360094070435
52,0.8354686498641968,0.5448265075683594,8e-07,0.6648995280265808,1.167359709739685
53,0.8302321434020996,0.5529792904853821,8e-07,0.666015625,1.167293667793274
54,0.8316634893417358,0.5498762726783752,8e-07,0.6667131781578064,1.166202425956726
55,0.8326060175895691,0.5457804203033447,8e-07,0.6658760905265808,1.1650750637054443
56,0.8289055824279785,0.5590851306915283,8e-07,0.6655970811843872,1.1664048433303833
57,0.8303717970848083,0.5522832274436951,8e-07,0.6661551594734192,1.166752576828003
58,0.8353988528251648,0.5418833494186401,1.6e-07,0.666015625,1.1661485433578491
59,0.8323267698287964,0.5436041951179504,1.6e-07,0.6655970811843872,1.1664683818817139
